,Hoax Words,Frequency
0,22,8
1,23,5
2,23tahun,1
3,23validvalid,1
4,24,6
5,25,7
6,257hoax,1
7,25rb,1
8,25valid,6
9,25validvalid,1
10,26,2
11,27,4
12,27valid,1
13,27validjt,3
14,28,1
15,29,5
16,2a,1
17,2an,1
18,2f,2
19,2h,1
20,2hoax,25
21,2hoaxst,1
22,2jt,1
23,2minggu,2
24,2mnggu,1
25,2nd,3
26,2nya,1
27,2pcs,1
28,2th,1
29,2valid,24
30,2valid24,14
31,2valid25,1
32,2valid2valid,77
33,2valid4hoax,1
34,2valid5valid,1
35,2validhoax,1
36,2validhoax2,5
37,2validhoax3,6
38,2validhoax4,17
39,2validhoax5,8
40,2validhoax6,11
41,2validhoax7,26
42,2validhoax8,27
43,2validhoax9,258
44,2validhoaxhoax,3
45,2validhoaxvalid,5
46,2validrb,3
47,2validth,1
48,2validvalid,2
49,2validvalid2,2
50,2validvalid3,1
51,2validvalid4,1
52,2validvalid5,1
53,2validvalid6,4
54,2validvalid7,2
55,2validvalid8,1
56,2validvalid9,5
57,2validvalidvalid,4
58,2x,3
59,32,1
60,34,1
61,35,1
62,36,6
63,36valid,1
64,3844545,1
65,38667hoax2,1
66,399,1
67,3d,1
68,3hoax,3
69,3hoax367,1
70,3hoaxhoax6,1
71,3valid,30
72,3valid5hoax,1
73,3valida,1
74,3validan,1
75,3validml,3
76,3validvalid,1
77,3validvalidk,1
78,3validvalidvalid,2
79,3validwib,3
80,3validx35,1
81,3x,5
82,3xsehari,2
83,42,3
84,42valid,1
85,43valid,1
86,44valid,1
87,45,4
88,45rb,1
89,45valid,1
90,4d,1
91,4g,2
92,4n,1
93,4negara,1
94,4nies,9
95,4ribu,1
96,4valid,4
97,4validk,1
98,4validorang,1
99,4validvalidk,1
100,4validvalidrb,1
101,4validvalidvalid,1
102,55,1
103,5552,1
104,55rb,1
105,56valid3,1
106,5hoax5valid3valid7valid,2
107,5k,1
108,5mnt,1
109,5rb,2
110,5rban,1
111,5tahunan,1
112,5valid,6
113,5validan,1
114,5validk,2
115,5validpcs,1
116,5validrb,1
117,5validvalid,7
118,5validvalidan,2
119,5validvalidm,1
120,5validvalidml,2
121,5validvalidsan,1
122,5validvalidvalid,1
123,62,10
124,627,1
125,628hoax365validvalidvalidhoaxhoax9,1
126,64,1
127,65hoaxhoax9,1
128,65validk,1
129,69,3
130,696,1
131,6ribuan,1
132,6valid,2
133,6validjuta,1
134,72m,8
135,73,1
136,74,2
137,75,3
138,75k,2
139,75valid,2
140,78hoax,1
141,7juli,1
142,7pcs,1
143,7valid,16
144,7valid5,1
145,7validvalid,3
146,7validvalidrb,2
147,7validvalidribuan,1
148,7validvalidvalid,2
149,85,1
150,87valid,2
151,8valid,4
152,8validvalid,1
153,95,1
154,95ml,1
155,95valid,1
156,96,3
157,98,1
158,99,1
159,9hari,3
160,9valid,8
161,9valid5,1
162,9validvalid,4
163,9validvalidvalid,1
164,a57,1
165,a5valid,1
166,aaaakkkhhhhhh,1
167,aaah,1
168,aaaminnn,1
169,aahhh,1
170,aakar,2
171,aaliyah,2
172,aamiin,6
173,aang,1
174,aba2,1
175,abadi,5
176,abai,6
177,abar,2
178,abas,2
179,abd,2
180,abdi,2
181,abdu,1
182,abdullah,1
183,abe,1
184,abg,1
185,abigail,2
186,abimanyu,3
187,abis,15
188,ablum,1
189,abng,1
190,aborigin,1
191,abraham,1
192,abri,1
193,absah,1
194,abu,1
195,abud,5
196,abyasa,2
197,acara,1
198,acara2,1
199,accesoris,1
200,accuracy,1
201,achad,1
202,acho,1
203,acin,1
204,aco,1
205,acting,1
206,actionnya,2
207,activities,1
208,actor,1
209,acu,2
210,acung,2
211,ada,36
212,adab,2
213,adapatasi,1
214,ade2,1
215,adegan,1
216,adem,1
217,ademin,4
218,aden,1
219,adera,5
220,adhanom,1
221,adhari,2
222,adhiarta,1
223,adi,12
224,adik2,2
225,adil,10
226,adipratomo,2
227,adjie,1
228,adjis,1
229,adl,2
230,admin,22
231,adminduk,2
232,admine,1
233,adminnya,2
234,adminya,1
235,adopsi,2
236,adopt,6
237,adoption,1
238,adry,3
239,adu,5
240,aduk,1
241,aduuh,1
242,aduuuhhh,1
243,adya,2
244,adzan,1
245,aeng,1
246,aepi,1
247,aethanolum,1
248,afaik,1
249,affandi,1
250,afiliasi,1
251,afrika,3
252,aga,1
253,aga2,1
254,agam,10
255,agama,38
