,Hoax Words,Frequency
256,agas,1
257,aggresive,1
258,agi,1
259,agnes,2
260,agnez,3
261,agree,2
262,agun,1
263,ahahaha,1
264,ahhh,1
265,ahhhhh,1
266,ahk,1
267,ahli,6
268,ahmadiyah,3
269,ahn,1
270,ahog,1
271,ahok,31
272,ahox,1
273,ahri,1
274,ahsan,5
275,aia,1
276,aibon,1
277,aids,2
278,aiis,2
279,ain,3
280,ainun,8
281,air,3
282,airborne,1
283,airbus,1
284,airdots,1
285,aires,1
286,airlines,3
287,airpods,1
288,airport,3
289,aisha,1
290,aisyiyah,1
291,aja,9
292,ajaaaaa,1
293,ajadah,2
294,ajah,4
295,ajaib,1
296,ajak,42
297,ajakain,1
298,ajakin,5
299,ajar,103
300,ajarin,1
301,ajeee,1
302,aji,1
303,aju,11
304,akabri,1
305,akal,2
306,akan,4
307,akann,1
308,akapnya,1
309,akar,1
310,akbp,1
311,akedemisi,1
312,akew,1
313,akhad,1
314,akherat,1
315,akhir,1
316,akhirnyaaaa,3
317,akibat,4
318,akir,1
319,akp,1
320,akse,1
321,akses,15
322,aksi,2
323,aksi2,1
324,aktif,2
325,aktifitas,2
326,akting,2
327,aktivitas,3
328,aku,46
329,akun,86
330,akun2,1
331,akurat,1
332,akutuh,1
333,akuuuhhhh,1
334,aladdin,1
335,alaktiri,1
336,alam,34
337,alamanda,2
338,alamat,3
339,alami,2
340,alas,52
341,alasa,1
342,alat,5
343,album,1
344,alcoho,1
345,aldiano,6
346,aldous,1
347,ale,1
348,alert,2
349,alesannya,1
350,alexa,1
351,alexis,3
352,alfarisi,1
353,alfiandi,2
354,alhamdulilah,1
355,alibi,1
356,alien,1
357,alih,7
358,alih2,2
359,alir,13
360,alissa,1
361,aljazair,1
362,aljazera,1
363,alkes,2
364,alkohol,1
365,allahuakbar,1
366,alligator,1
367,almond,1
368,alokasi,1
369,alpen,2
370,alpukat,1
371,alright,1
372,altalarik,1
373,alun,1
374,alun2,1
375,amaaat,1
376,amad,1
377,amalatu,2
378,aman,25
379,aman2,1
380,amat,11
381,amatir,5
382,amatsih,1
383,amazing,2
384,ambal,1
385,ambang,3
386,ambarawa,1
387,ambe,1
388,ambi,1
389,ambil,17
390,ambisi,1
391,ambon,12
392,ambruk,1
393,ambu,3
394,ambul,1
395,ambulance,1
396,ambyaarr,2
397,ambyar,14
398,ambyarrd,1
399,ame,1
400,ameera,1
401,ameltrias,2
402,amen,3
403,ameng,1
404,amien,1
405,amiiin,2
406,amiinnn,1
407,aminah,1
408,amit2,1
409,amizah,3
410,ammho,1
411,ampas,1
412,ampli,1
413,amplifikasi,1
414,ampo,1
415,ampunnnn,1
416,ampuunn,1
417,amrik,3
418,amsterdammer,1
419,anabul,1
420,anak,11
421,anak2,16
422,anakbuah,1
423,analisa,3
424,anam,1
425,anani,1
426,ancam,25
427,ancen,1
428,ancoorr,1
429,ancur,1
430,ancuur,1
431,anda,2
432,andai,2
433,andal,2
434,andalanque,1
435,andi,2
436,andrew,3
437,andri,1
438,aneh,2
439,aneh2,2
440,angeles,1
441,anggap,25
442,anggar,28
443,anggito,3
444,anggota,2
445,anggran,2
446,anggur,2
447,angin,7
448,angka,12
449,angka2,1
450,angkat,35
451,angkot,2
452,angkuh,1
453,angkut,7
454,angon,3
455,ani,4
456,aniaya,5
457,anie,1
458,anies,164
459,aniesbaswedan,1
460,anik,1
461,animatronika,1
462,animus,1
463,anita,7
464,anjaaaay,1
465,anjak,1
466,anjal,1
467,anjang,1
468,anjing,14
469,anjir,2
470,anjirrrr,1
471,anjur,14
472,ankatama,1
473,annual,1
474,anoni,1
475,ansor,3
476,antalya,1
477,antam,1
478,antar,4
479,antara,1
480,antarpenonton,1
481,antek,5
482,antek2,1
483,antem,5
484,anter,1
485,anti,59
486,antibanjirnya,1
487,antihoaks,2
488,antihoax,1
489,antikorupsi,2
490,antimainstream,1
491,anting,2
492,anting2,1
493,antinyasar,1
494,antiplastik,1
495,antiseptic,3
496,antisi,1
497,antisip,1
498,antisipasi,11
499,antisipasiasi,1
500,antivirus,1
501,antivirusnya,1
502,antonio,1
503,antri,6
504,antum,2
505,anut,2
506,anuu,1
507,anw,3
508,apa,45
509,apa2,10
510,apa2an,1
511,apaaa,1
512,apakata,1
513,apala,1
514,apansih,1
515,apapaun,1
516,apar,1
517,apara,1
518,aparat,1
519,aparatu,1
520,apd,3
521,aph,1
522,api,1
523,apjii,1
524,apkk,1
525,aplikasi,3
526,aplot,1
527,apocalyptic,1
528,apotek,3
529,app,2
530,appr,1
531,appreciation,1
532,apresiasi,6
533,apsari,1
534,apung,1
535,aqua,3
536,arabian,1
537,arah,21
538,araya,4
539,arb,1
540,archie,4
541,ardi,2
542,area,1
543,argo,1
544,argumen,1
545,argumentas,1
546,aribowo,9
547,arief,16
548,ario,2
549,arjosari,1
550,arjuno,2
551,arkademy,2
552,armand,4
553,armun,1
554,army,1
555,arnidah,1
556,arsip,2
557,arteria,2
558,arti,1
559,artik,1
560,artikel,5
561,artin,1
562,artist,4
563,artotel,1
564,artpreneur,12
565,aruf,1
566,asa,11
567,asabri,1
568,asah,5
569,asai,3
570,asal,1
571,asal2an,2
572,asap,5
573,asbun,4
574,asdfghjkl,1
575,asegaf,1
576,asemka,1
577,aseng,5
578,asfinawati,1
579,asgar,2
580,asi,2
581,asiaafrika,1
582,asih,2
583,asik,10
584,asing,1
585,asisi,1
586,asistensi,1
587,asli,43
588,aslik,1
589,asline,1
590,asma,1
591,asn,6
592,asnar,1
593,asong,1
594,aspek,2
595,asplak,2
596,asrama,1
597,assalammualaikum,1
598,asset,2
599,assistant,2
600,association,2
601,astagaaaaa,1
602,astrid,1
603,astuti,3
604,asuh,2
605,asupan,1
606,asus,3
607,asuuu,1
608,asy,1
609,asyik,1
610,atas,60
611,atasanya,1
612,atasnamakan,1
613,ataupu,1
614,ati2,2
615,atiatul,1
616,atika,1
617,atk,1
618,atlant,1
619,atlit,1
620,atm,3
621,atmospheric,1
622,attraction,1
623,atuh,7
624,atuhh,1
625,atur,37
626,atura,1
627,audi,2
628,audiens,3
629,audiensi,4
630,augmented,1
631,australia,18
632,austria,9
633,autopilot,1
634,ava,1
635,avenger,2
636,avengers,2
637,avian,1
638,aviv,1
639,awakdewe,1
640,awal,10
641,awan,20
642,award,2
643,aware,9
644,awareness,1
645,awas,31
646,awat,4
647,awesome,2
648,awet,1
649,awis,2
650,awkmu,3
651,awokawkwkwk,1
652,awokwowk,1
653,aww,1
654,awww,1
655,ayah,2
656,ayank,1
657,ayenamah,1
658,ayo,9
659,ayom,1
660,ayoo,7
661,ayooo,2
662,azab,2
663,azzahara,1
664,b2valid,1
665,b3,1
666,babar,1
667,babi,14
668,babu,1
669,baby,1
670,baca,123
671,bacharuddin,1
672,bachelors,2
673,backhoe,1
674,backing,1
675,backstage,1
676,backstreet,3
677,baco,3
678,bacodd,1
679,bacok,3
680,bacot,1
681,bad,1
682,badai,6
683,badan,25
684,badhe,1
685,badri,2
686,baduy,7
687,bagaim,2
688,bagi,107
689,bagi2,6
690,bagiamana,1
691,bagiin,4
692,bagooossshhh,1
693,bagu,1
694,bagun,1
695,bagus,4
696,bagus2,1
697,bagusss,1
698,bah,1
699,bahagia,18
700,bahan,2
701,bahan2,1
702,baharu,1
703,bahas,26
704,bahasa,34
705,bahaya,21
706,bahri,3
707,bahu,3
708,bai,2
709,baik,18
710,baik2,4
711,bain,8
712,bajak,2
713,bajar,2
714,bajas,1
715,baje,1
716,bajer,5
717,bajernya,1
718,bajerrp,6
719,bajing,2
720,baju,3
721,bak,1
722,bakamla,1
723,bakar,23
724,bakjingan,1
725,bakso,10
726,bakti,5
727,bal,22
728,bala,2
729,baladhika,1
730,balaikartini,1
731,balaikot,1
732,balantak,1
733,balap,1
734,balas,4
735,baleg,1
736,balik,16
737,balikin,1
738,balinine,1
739,balita,3
740,balitbangkes,2
741,balittan,1
742,balloon,1
743,balon,1
744,balut,3
745,bambang,5
746,bambangggg,1
747,bambangggggg,1
748,bamsoet,1
749,bamukmin,1
750,ban,16
751,bancassurance,1
752,banci,1
753,bandahara,1
754,bandara,2
755,bandara2,1
756,bandel2,1
757,banding,30
758,banding2k,1
759,bandingin,2
760,bandinginnya,2
761,bandul,3
762,bandung,10
763,banerra,1
764,bang,1
765,bangalore,1
766,bangat,2
767,bangett,1
768,bangga,4
769,banggain,1
770,bangkal,3
771,bangkit,9
772,bangkrut,5
773,bangladesh,2
774,bangsa,65
775,bangsat,10
776,bangun,45
777,bangunin,1
778,banjar,1
779,banjarmasin,1
780,banjarsari,1
781,banjir,94
782,bank,1
783,banser,3
784,bantah,14
785,bantai,1
786,bantal,1
787,banten,10
788,banteng,6
789,bantu,136
790,bantuin,2
791,bany,1
792,banya,3
793,banyaaak,2
794,banyaak,1
795,banyaakkkk,1
796,banyak,25
797,bapaaakkk,1
798,bapak,2
799,bapak2,3
800,baqir,1
801,barang,21
802,barang2,2
803,barangkalai,1
804,barasuara,3
805,barbeque,1
806,bareskrim,2
807,baris,3
808,barokah,1
809,barry,1
810,baru,31
811,baru2,1
812,bas,3
813,based,3
814,basic,5
815,basori,1
816,basrach,1
817,basri,17
818,basudara,3
819,basuki,4
820,basweda,1
821,baswedan,33
822,batai,1
823,batak,4
824,batal,25
825,batalyon,1
826,batam,5
827,batas,44
828,baterei,1
829,battery,1
830,battle,1
831,battles,1
832,batu,58
833,batubara,1
834,batuk,3
835,batuk2,1
836,batur,1
837,bau,2
838,baw,1
839,bawa,22
840,bawa2,4
841,bawah,20
842,bawain,2
843,bawaslu,20
844,baya,4
845,bayang,12
846,bayar,61
847,bayclin,5
848,bayun,1
849,bazzerp,1
850,bbagai,1
851,bbanyak,1
852,bbc,1
853,bbm,3
854,bbrapa,1
855,bbrp,12
856,bbtnbts,1
857,bca,2
858,bdg,1
859,beanggung,1
860,bearti,1
861,beat,1
862,beatle,1
863,beatles,4
864,beatt,1
865,beba,1
866,beban,18
867,bebas,8
868,bebasin,1
869,bebepa,1
870,beber,4
871,bebera,1
872,bebrapa,1
873,bebrpa,1
874,becak,1
875,becakap,1
876,becanda,2
877,becus,1
878,becusss,1
879,bed,2
880,beda,52
881,beda2,1
882,bedah,1
883,bedain,2
884,beebaran,1
885,beforenis,1
886,beg,1
887,begi,3
888,begim,1
889,begini,1
890,begitu,1
891,begonoh,1
892,begum,1
893,begundal2,2
894,beh,1
895,beijing,1
896,bejek,2
897,bejibun,1
898,bekal,3
899,bekas,27
900,beke,1
901,beking,1
902,bekne,1
903,beku,3
904,bela,13
905,belah,1
906,belaj,1
907,belakang,5
908,belanja,2
909,beli,32
910,belian,1
911,beliau,2
912,belio,2
913,belio2,1
914,belok,1
915,beltex,1
916,bem,4
917,benah,1
918,benar,22
919,benar2,6
920,bencana,16
921,benci,32
922,bencoleng,1
923,benda,1
924,bendung,3
925,beneeerr,1
926,benef,1
927,bener,66
928,bener2,7
929,beneran,10
930,benerin,5
931,benerkah,1
932,benerlah,1
933,beng2,1
934,bengak,1
935,bengi,1
936,bengkak,2
937,bengkulu,2
938,benhil,2
939,benny,1
940,bensin,4
941,bentrok,2
942,bentuk,33
943,bentur,1
944,bepenghasilan,1
945,beraaaattt,1
946,berac,1
947,berahasa,1
948,beran,1
949,berangan,2
950,berangkat,2
951,berani,8
952,berani2nya,1
953,beranta,17
954,berantas,17
955,berapa,2
956,berb,1
957,berba,1
958,berbondong2,1
959,berciri2,1
960,berdeb,1
961,berekpresi,1
962,beres,1
963,berfikir,3
964,berg,1
965,berger,1
966,berha,1
967,berharapa,1
968,berhati2,1
969,berhnti,1
970,beri,1
971,beris,1
972,berita,21
973,berita7,1
974,berjaga2,1
975,berjalan2,1
976,berjilid2,1
977,berjulid,1
978,berkali2,2
979,berkordinasi,1
980,berkunjubg,1
981,berliterasi,1
982,bermanf,1
983,bermedsos,3
984,bermerk,1
985,bermilanials,1
986,beroprasi,2
987,berp,2
988,berplat,1
989,bers,2
990,bersahat,1
991,bersholawat,4
992,bersih,20
993,bersih2,2
994,bersikukuh,1
995,bersilid,1
996,bersolide,1
997,bersosmed,1
998,bert,1
999,bertanya2,1
1000,beruang,1
1001,berudu,2
1002,berusha,1
1003,besar,14
1004,besar2an,2
1005,besdeeeey,1
1006,besea,1
1007,besi,2
1008,besok,1
1009,besok2,1
1010,bestfriendny,1
1011,besuk,2
1012,betawi,2
1013,betewe,1
1014,betol,1
1015,betul2,1
1016,betulin,1
1017,betuul,1
1018,beud,3
1019,beuutt,1
1020,bezuk,2
1021,bflp,2
1022,bgsttt,1
1023,bgt,29
1024,bhakti,1
1025,bhanuteja,2
1026,bharwani,1
1027,bhas,1
1028,bhasa,1
1029,bhaskara,1
1030,bhs,4
1031,bhsnya,1
1032,bia,1
1033,biadab,1
1034,biar,41
1035,biasa,18
1036,biasa2,1
1037,biasaaaa,1
1038,biasak,1
1039,biasany,2
1040,biaya,5
1041,bicar,1
1042,bicara,19
1043,bidang,6
1044,bijak,58
1045,bijakkk,1
1046,bijb,2
1047,biji,3
1048,bika,1
1049,bikin,7
1050,bikinin,2
1051,bilan,1
1052,bilang,15
1053,bilanh,1
1054,bima,6
1055,bimas,1
1056,bina,7
1057,bincang,6
1058,binggung,1
1059,bingk,1
1060,bingkis,2
1061,bingung,2
1062,binsar,13
1063,bintang,2
1064,bintaro,1
1065,bio,2
1066,biofuel,1
1067,biografi,1
1068,bipa,1
1069,birus,1
1070,bis,1
1071,bisa,6
1072,bisa2nya,3
1073,bisaaa,1
1074,bisik,12
1075,bisikkin,1
1076,bismilah,1
1077,bisnis,7
1078,bisri,1
1079,bisu,1
1080,biswanath,1
1081,biup,3
1082,biyen,1
1083,biznet,1
1084,bjo,1
1085,bking,1
1086,bknkah,1
1087,bl,1
1088,bla,5
1089,blabla,1
1090,black,1
1091,blackout,3
1092,blaga,1
1093,blak,5
1094,blakan,5
1095,blangkon,1
1096,blanko,2
1097,blast,2
1098,blegug,1
1099,blepot,2
1100,bless,2
1101,blh,2
1102,bliin,1
1103,blimbing,9
1104,blit,1
1105,blitar,1
1106,bljar,1
1107,blk,1
1108,blkg,1
1109,bln,1
1110,bloc,1
1111,block,5
1112,blocked,2
1113,blogspot,2
1114,blok,2
1115,blokir,3
1116,blom,3
1117,blon,1
1118,blooming,1
1119,blorong,1
1120,blossom,2
1121,blowned,1
1122,blue,1
1123,blum,1
1124,blunggembloeng,1
1125,blur,1
1126,blusukan,1
1127,bnb,1
1128,bnget,1
1129,bngsa,1
1130,bni,2
1131,bnpb,4
1132,bnpt,2
1133,bntr,1
1134,bny,2
1135,bobo,4
1136,bobok,1
1137,bobrok,2
1138,boco,1
1139,bocor,2
1140,bocorin,1
1141,bod,2
1142,bodoh,15
1143,boeing,1
1144,bohong,26
1145,boim,2
1146,bojo,1
1147,bole,4
1148,boleh,7
1149,bolehh,1
1150,bolo,2
1151,bolo2,2
1152,bom,10
1153,boming,1
1154,bondong,2
1155,bonek,1
1156,bongkar,4
1157,bongke,1
1158,boo,1
1159,book,2
1160,boomer,1
1161,booming,1
1162,booosss,1
1163,boossss,1
1164,bopi,1
1165,bor,1
1166,born,1
1167,borneo,1
1168,borong,1
1169,bos,6
1170,bose,1
1171,bosone,1
1172,bosqu,1
1173,bosss,1
1174,bosssss,1
1175,bossssssss,1
1176,botol,2
1177,botol2,2
1178,bowl,1
1179,box,9
1180,box2an,1
1181,boys,8
1182,boz,2
1183,bozzgadged,1
1184,bp,3
1185,bpakita,1
1186,bpjs,14
1187,bpjstk,1
1188,bpkh,7
1189,bpn,20
1190,bpom,5
1191,bps,1
1192,bpws,2
1193,br,4
1194,bradley,1
1195,braile,1
1196,brain,1
1197,bralasan,1
1198,brand,4
1199,branding,1
1200,brangkat,1
1201,brani,5
1202,brani2nya,2
1203,brantas,2
1204,brati,1
1205,brawijaya,5
1206,brazil,4
1207,brbagai,1
1208,brda,1
1209,breaksi,1
1210,breakthrough,2
1211,brengan,1
1212,brian,2
1213,bridezilla,1
1214,briefing,1
1215,brigjen,1
1216,briliyan,1
1217,brimo,1
1218,brimob,9
1219,bripda,1
1220,brita,2
1221,britto,1
1222,brjalan,1
1223,broadway,2
1224,broken,1
1225,bromance,2
1226,bromo,5
1227,brow,1
1228,browww,1
1229,brp,14
1230,brrti,1
1231,bru,3
1232,brush,1
1233,bsd,1
1234,bts,6
1235,btu,1
1236,bua,3
1237,buah,2
1238,buahaaa,1
1239,buahahahahahahha,1
1240,buang,7
1241,buangin,1
1242,buangkeee,1
1243,buannyak,1
1244,buanyaaak,1
1245,buat,40
1246,bubaaar,1
1247,bubar,2
1248,bubarin,1
1249,buchi,3
1250,bucket,1
1251,budaya,3
1252,budeg,1
1253,budget,5
1254,budgeting,1
1255,budiyanto,1
1256,budjang,85
1257,budjangers,3
1258,budok,1
1259,budug,1
1260,buenos,1
1261,buger,1
1262,buget,1
1263,bugis,3
1264,buher,1
1265,build,1
1266,bujugggggg,1
1267,buk,1
1268,buka,43
1269,buka2an,1
1270,bukak,4
1271,bukber,3
1272,buknx,1
1273,bukti,32
1274,buktiin,1
1275,buku,1
1276,bulak,1
1277,bulan,13
1278,bulau,1
1279,bulgaria,3
1280,bully2,2
1281,bullying,2
1282,bulu,3
1283,buluh,1
1284,bululawang,2
1285,buly,1
1286,bumi,2
1287,bumiayu,3
1288,bun,2
1289,bundar,2
1290,bung,1
1291,bungkam,3
1292,bungkus,1
1293,buntut,1
1294,bunuh,16
1295,bunyi,2
1296,bur,1
1297,burapha,1
1298,burger,3
1299,burhanuddin,2
1300,buru,12
1301,buruh,1
1302,buruk,4
1303,buruuuan,1
1304,bus,4
1305,buser,1
1306,buserp,1
1307,busineswoman,1
1308,busrin,1
1309,bustara,2
1310,busting,3
1311,busuk,3
1312,busyro,1
1313,butchery,1
1314,buthak,1
1315,buton,1
1316,butuh,26
1317,buwono,1
1318,buying,2
1319,buzeeer,1
1320,buzer,3
1321,buzerp,1
1322,buzerr,1
1323,buzerrp,5
1324,buzerrr,1
1325,buzzerp2nya,1
1326,buzzerpnya,1
1327,buzzerrp,7
1328,buzzers,1
1329,bwi,1
1330,bycln,1
1331,c6,1
1332,cabe,1
1333,cabut,5
1334,caci,2
1335,caer,1
1336,cafe,4
1337,cagur,1
1338,cahari,1
1339,cahaya,1
1340,cai,1
1341,cair,8
1342,cakada,1
1343,cakap,1
1344,cake,1
1345,cakup,2
1346,cald,1
1347,caleg,10
1348,california,5
1349,calon,2
1350,camil,1
1351,campur,6
1352,campus,1
1353,canada,1
1354,canang,1
1355,cancel,4
1356,cancer,1
1357,canda,6
1358,candidate,1
1359,candrabhaga,1
1360,candu,1
1361,canggih,2
1362,cangkeme,2
1363,cangkruk,1
1364,cannes,1
1365,cantik,2
1366,cantika,3
1367,cantum,1
1368,cap,3
1369,capacity,2
1370,capai,3
1371,capek2,1
1372,capim,5
1373,capimnya,1
1374,capital,1
1375,capjay,2
1376,caplok,1
1377,capres,32
1378,caps,1
1379,cara,1
1380,cara2,3
1381,carbopol,1
1382,card,1
1383,care,6
1384,carefour,1
1385,cari,22
1386,carlton,1
1387,carrefour,1
1388,casenya,1
1389,cases,3
1390,cashless,3
1391,casugay,1
1392,catat,47
1393,catering,4
1394,catet,2
1395,catok,1
1396,catried,1
1397,catut,4
1398,cavanagh,1
1399,cawang,1
1400,cawapres,13
1401,cawapresnya,3
1402,caya,1
1403,ccn,1
1404,ccp,2
1405,cctv,2
1406,cebi,1
1407,cebong2,1
1408,cebongers,1
1409,cecep,1
1410,cecer,1
1411,cedek,1
1412,cegah,74
1413,cegat,2
1414,cek,14
1415,cekal,2
1416,cekapsemantenmat,1
1417,cekat,2
1418,cekek,1
1419,cekfakta,29
1420,ceko,1
1421,cekrek,2
1422,cela,4
1423,celaaan,1
1424,celaka,8
1425,celcius,1
1426,celebrate,1
1427,celek,1
1428,celia,4
1429,cema,2
1430,cemananya,1
1431,cemar,2
1432,cemas,1
1433,cemburu,2
1434,cemen,4
1435,cemo,1
1436,cenah,1
1437,cendika,1
1438,cengar,2
1439,cengengesan,1
1440,cengir,2
1441,cengkareng,1
1442,center,36
1443,centernya,4
1444,cepaka,1
1445,cepat,9
1446,cepatt,1
1447,cepetan,1
1448,cept,1
1449,cerah,2
1450,cerai,2
1451,cerdas,1
1452,cerdas2,1
1453,cerita,20
1454,ceritany,1
1455,cermat,1
1456,cermin,4
1457,cerna,1
1458,cetak,10
1459,cetus,1
1460,ceuk,1
1461,cfd,3
1462,cgi,2
1463,chaiyut,1
1464,champions,2
1465,changan,1
1466,changers,1
1467,changi,3
1468,channel,2
1469,chant,1
1470,chaos,4
1471,chapter,1
1472,charali,1
1473,charles,1
1474,charta,1
1475,che,1
1476,chechnya,1
1477,check,2
1478,checkin,1
1479,checking,4
1480,cheetah,1
1481,chef,5
1482,chelsea,2
1483,chennai,1
1484,cherly,1
1485,chernobyl,1
1486,chi,1
1487,chic,1
1488,chicken,2
1489,chiki,1
1490,chile,1
1491,chinese,2
1492,chloroquine,1
1493,choax,10
1494,choax9,1
1495,choirul,2
1496,cholil,1
1497,chonburi,1
1498,christchurch,3
1499,christi,1
1500,christian,2
1501,chubby,1
1502,church,1
1503,ciahhhh,1
1504,cianjur,1
1505,cibinong,2
1506,cibir,1
1507,cicak,1
1508,cicil,1
1509,cicip,1
1510,ciduk,3
1511,cie,1
1512,cieee,1
1513,cieeee,1
1514,cikampek,2
1515,cikopo,1
1516,cil,1
1517,cilacap,1
1518,cilegon,1
1519,cilengsi,1
1520,cileungsi,1
1521,ciliwung,9
1522,cilukbaaaku,1
1523,cimol,1
1524,cin,1
1525,cine,2
1526,cingurwati,1
1527,cino,2
1528,cinta,21
1529,cip,1
1530,cipta,16
1531,cipto,2
1532,cipulir,1
1533,ciputat,1
1534,ciputra,13
1535,circle,1
1536,ciri2,3
1537,ciruas,2
1538,citarum,1
1539,citilink,1
1540,citizenship,1
1541,citos,1
1542,citra,11
1543,cium,1
1544,civic,1
1545,ckckck,2
1546,cl,1
1547,claims,1
1548,class,1
1549,clayton,1
1550,cleaning,3
1551,cleansing,1
1552,clickbait,1
1553,clinton,1
1554,clockwise,1
1555,cloning,1
1556,closing,1
1557,club,2
1558,clue,3
1559,cm,7
1560,cnn,2
1561,cnnindonesia,1
1562,cntohn,1
1563,coba,18
1564,cobain,4
1565,coblos,17
1566,coc,1
1567,coco,1
1568,cocoklogi,2
1569,cof,1
1570,cofid,1
1571,cokrori,1
1572,colab,1
1573,collaborating,1
1574,collaborations,1
1575,collect,1
1576,colong,9
1577,colorna,1
1578,combat,1
1579,combatan,1
1580,comboran,2
1581,coming,4
1582,commerce,2
1583,communication,1
1584,communist,1
1585,community,3
1586,commuterline,1
1587,comot,1
1588,comp,1
1589,comunication,1
1590,concern,1
1591,concert,4
1592,condet,3
1593,condong,2
1594,condongin,1
1595,conference,10
1596,confess,2
1597,confident,1
1598,confirmed,1
1599,confuzed,1
1600,cong,2
1601,conggor,1
1602,conglomerate,3
1603,congornaa,1
1604,conocophillips,2
1605,conor,1
1606,conservacy,1
1607,contact,4
1608,contacting,1
1609,contest,3
1610,continues,1
1611,contoh,12
1612,contra,1
1613,conversationnya,1
1614,convert,1
1615,convid,1
1616,cooker,1
1617,cookies,1
1618,cooming,1
1619,coon,1
1620,cooper,1
1621,copot,2
1622,corat,1
1623,corn,1
