kata hujat
bangsat
kontol
anjing
bajingan
babi
kntl
mmk
memek
tai
tahi
eek
ajg
anj
anjrit
turunkan
becus
begog
anyeng
sial
rese
sialan
sial
jancuk
tolol
gblk
bodoh
goblok
goblog
buruan
