,Hoax Words,Frequency
1651,correction,1
1652,corrupt,1
1653,corruption,1
1654,coruna,2
1655,corvid,1
1656,cottage,1
1657,couldn,1
1658,council,1
1659,count,13
1660,counting,1
1661,cour,1
1662,cov,4
1663,cover,10
1664,covernya,1
1665,covi,1
1666,covid,167
1667,covidhoax,43
1668,coy,2
1669,cp,3
1670,cpns,10
1671,crash,2
1672,creative,9
1673,creator,12
1674,creators,7
1675,crib,2
1676,crime,2
1677,crisis,1
1678,critanya,1
1679,crow,1
1680,crowd,1
1681,crowdfunding,1
1682,crut,1
1683,crutno,1
1684,cu,3
1685,cuan,6
1686,cuat,1
1687,cuci,6
1688,cucok,1
1689,cuek,6
1690,cuil,1
1691,cuit,22
1692,cuita,1
1693,cuitanya,7
1694,cukup,2
1695,culi,1
1696,culik,2
1697,culture,2
1698,cum,2
1699,cupcake,1
1700,cuplik,1
1701,cur,1
1702,curah,1
1703,curang,22
1704,curcumin,1
1705,curhatan,2
1706,curi,8
1707,curiga,3
1708,current,1
1709,curry,1
1710,curva,1
1711,curve,2
1712,customs,1
1713,cute,1
1714,cuuuyy,1
1715,cuy,1
1716,cyanida,1
1717,cyber,3
1718,cyberbullying,2
1719,cyrus,2
1720,daanish,1
1721,dada,2
1722,dadak,1
1723,daddies,1
1724,daera,1
1725,daerah,8
1726,dafta,1
1727,daftar,15
1728,dagang,5
1729,dagel,3
1730,dahal,1
1731,dahhh,1
1732,dahlan,5
1733,dahnil,1
1734,dahsyat,1
1735,dahulu,2
1736,dajjal,1
1737,dakan,1
1738,daki,3
1739,dakta,2
1740,dakwa,3
1741,dakwah,2
1742,dal,1
1743,dalam,12
1744,dalang,1
1745,dalem,3
1746,dalila,2
1747,dalj,1
1748,dama,1
1749,damai,5
1750,damang,1
1751,damkar,2
1752,damn,1
1753,damono,7
1754,dampak,27
1755,damping,7
1756,dan,2
1757,dana,2
1758,dance,2
1759,dandim,4
1760,dangdut,1
1761,dangerous,1
1762,danila,1
1763,danilla,4
1764,danjen,1
1765,danlainnya,1
1766,danny,2
1767,danpaspampres,1
1768,danrem,1
1769,dany,1
1770,dapat,26
1771,dapet,16
1772,dapetin,6
1773,dapil,3
1774,dapilnya,1
1775,daqu,1
1776,dar,1
1777,darah,8
1778,darat,2
1779,darihoax,1
1780,daring,5
1781,darullfallah,1
1782,darur,2
1783,darura,1
1784,darurat,3
1785,dasar,9
1786,dash,1
1787,data,5
1788,datang,26
1789,dateng,13
1790,datng,1
1791,dau,2
1792,daulat,5
1793,daur,2
1794,david,2
1795,davidson,1
1796,day,7
1797,daya,4
1798,dayak,2
1799,days,3
1800,dbd,6
1801,dbeliin,1
1802,dbentak,1
1803,dditakutin,1
1804,ddtangkan,1
1805,dea,2
1806,dealing,1
1807,debat,8
1808,debes,1
1809,debunk,1
1810,decla,1
1811,declare,4
1812,decor,1
1813,deddy,4
1814,dedekot,1
1815,dedeng,1
1816,dedikasi,4
1817,dee,1
1818,deep,4
1819,deepfake,2
1820,defending,1
1821,deindustrialisasi,2
1822,deindustrilisasi,1
1823,deja,1
1824,dejavu,1
1825,deka,1
1826,dekat,23
1827,deklarasi,12
1828,dekokrasi,1
1829,delaware,1
1830,deli,1
1831,delight,1
1832,delivery,7
1833,dem,1
1834,demi,2
1835,demik,1
1836,demirp,1
1837,demis,1
1838,demistri,2
1839,demo,6
1840,democracy,2
1841,democrats,1
1842,demokarasi,1
1843,demokrasi,5
1844,demokratik,1
1845,dempo,1
1846,denda,2
1847,dendang,1
1848,dengan,2
1849,dengar,55
1850,dengki,2
1851,denial,1
1852,denmark,1
1853,denny,3
1854,dentum,1
1855,depan,22
1856,depane,1
1857,depkes,1
1858,depo,1
1859,deportasi,1
1860,deportivo,2
1861,der,1
1862,deradikalisasi,3
1863,derajat,1
1864,deras,1
1865,deret,2
1866,derita,10
1867,des,2
1868,desa,6
1869,desak,5
1870,desmond,1
1871,desta,4
1872,destroy,1
1873,detect,1
1874,deteksi,17
1875,detiknews,1
1876,detoks,4
1877,dettol,3
1878,dewandaru,1
1879,dewanti,1
1880,dewasa,2
1881,dewe,3
1882,dewisya,3
1883,dgan,1
1884,dha,1
1885,dhaka,1
1886,dharma,2
1887,dharmawangsa,1
1888,dhino,2
1889,dhuancuk,1
1890,dhukun,3
1891,dia,1
1892,diadain,2
1893,diagnosa,1
1894,diajarin,2
1895,diakse,1
1896,dialog,3
1897,diam,7
1898,diamb,1
1899,diamond,2
1900,dian,1
1901,diangg,1
1902,dianggep,3
1903,dianterin,1
1904,diapain,1
1905,diapresi,1
1906,diapusi,2
1907,dibacain,1
1908,dibales,1
1909,dibandi,1
1910,dibatesi,1
1911,dibayangin,1
1912,dibayarin,1
1913,diberitahu,2
1914,dibgambarr,1
1915,dibia,1
1916,dibiarkn,1
1917,dibikinkn,2
1918,diblacklist,1
1919,diblkng,1
1920,diblock,1
1921,dibo,1
1922,dibolehin,1
1923,dibooking,1
1924,dibully,3
1925,dibuly,1
1926,dibwh,1
1927,dictators,1
1928,didengeeeerrrr,1
1929,didenger,2
1930,didengerin,1
1931,didik,3
1932,diditu,1
1933,diduuuuu,1
1934,diem,13
1935,dieng,5
1936,difikirkan,1
1937,digandrungin,1
1938,digimanain,1
1939,digituin,1
1940,digoblo,1
1941,digooglemaps,1
1942,digurbis,2
1943,dihadang,2
1944,dihadepin,1
1945,dihimbau,1
1946,dihindarin,1
1947,diijinin,1
1948,diijinkan,1
1949,diikutin,1
1950,diisutradari,1
1951,dijadiin,2
1952,dijajanin,1
1953,dijak,1
1954,dijakarta,1
1955,dijapri,1
1956,dijelasin,1
1957,dijogo,1
1958,dik,2
1959,dikab,1
1960,dikampungqu,1
1961,dikangenin,1
1962,dikarimun,1
1963,dikasusin,1
1964,dikbud,1
1965,dikemanain,1
1966,dikenalin,1
1967,dikerokin,1
1968,diketatin,1
1969,dikibulin,4
1970,dikonformasi,1
1971,dikongkon,1
1972,dikontrakin,1
1973,dikosan,1
1974,dikuliahin,1
1975,dikunjungin,1
1976,dil,5
1977,diliburin,1
1978,dilnjut,1
1979,dilockd,1
1980,dilockdown,1
1981,dilockdownpu,1
1982,dilockdwon,1
1983,dilulusin,1
1984,dimajuin,1
1985,dimaksimalka,1
1986,dimalkumi,1
1987,dimanaa,1
1988,dimanfaatin,1
1989,dimasukkin,1
1990,dimn,2
1991,dimnakah,1
1992,din,1
1993,dinaikin,1
1994,dinas,25
1995,dine,3
1996,dinggap,1
1997,dingin,3
1998,dinhari,1
1999,dinkes,11
2000,dinomorduakan,1
2001,dinoyo,15
2002,dinsos,1
2003,dinyinyirin,1
2004,diobrolin,1
2005,diomongin,1
2006,dipa,1
2007,dipake,7
2008,dipengaruhin,1
2009,diperbolehka,1
2010,diperhitungk,1
2011,diperiksaa,1
2012,dipertanggungjawabkan,1
2013,dipijitin,1
2014,dipikirin,2
2015,dipilkada,1
2016,dipilpres,1
2017,dipisahin,1
2018,diplesetin,1
2019,diposting,2
2020,diprofiling,1
2021,dipublish,2
2022,dipulangin,1
2023,dipungkiri,1
2024,dipush,1
2025,dir,1
2026,dirahasiain,2
2027,dirasain,1
2028,direspon,5
2029,diretweet,2
2030,direview,1
2031,diri,18
2032,diributin,1
2033,dirjen,5
2034,diruaisi,1
2035,diruqiyah,1
2036,disagree,1
2037,disalahin,1
2038,disalahpahami,1
2039,disangk,1
2040,disape,1
2041,disbud,1
2042,discussions,3
2043,disease,2
2044,disebarluaskan,1
2045,disebutin,3
2046,disemarang,1
2047,dishare,3
2048,dishub,5
2049,disiapin,1
2050,disimpen,1
2051,disinfectan,3
2052,disinfectant,2
2053,disinformation,1
2054,diskominfo,1
2055,diskredit,1
2056,diskrim,2
2057,diskriminasi,1
2058,diskursus,1
2059,diskus,2
2060,diskusi,19
2061,disosmed,1
2062,disparitas,1
2063,dispendukcapil,1
2064,dispenser,1
2065,disperindag,1
2066,disposable,1
2067,disrupsi,2
2068,distancing,16
2069,distribusi,3
2070,distrik,1
2071,distrust,1
2072,disuapin,1
2073,disumpahin,2
2074,disuratin,1
2075,diswab,1
2076,dita,1
2077,ditag,1
2078,ditambaall,1
2079,ditanggani,1
2080,ditangkep,1
2081,ditanyain,2
2082,ditebengin,1
2083,ditegasin,1
2084,ditek,1
2085,ditembat,1
2086,ditemenin,3
2087,ditemuin,2
2088,ditgh,2
2089,ditmbah,1
2090,ditmpat,1
2091,ditrace,1
2092,ditreskrimsus,1
2093,ditud,1
2094,ditugasin,1
2095,dituker,1
2096,ditutupin,5
2097,diumpetin,2
2098,diumumin,2
2099,diupdate,1
2100,diut,1
2101,diviralkan,2
2102,diwoco,1
2103,djalil,1
2104,djay,2
2105,djoko,6
2106,dk,4
2107,dkat,1
2108,dkh,5
2109,dkrth,1
2110,dksi,1
2111,dkt,1
2112,dlo,1
2113,dlu,8
2114,dluan,1
2115,dmana,1
2116,dmlg,1
2117,dna,3
2118,doa,16
2119,doaibu,1
2120,doain,6
2121,dodol,1
2122,doi,1
2123,dokbil,1
2124,dokrin,1
2125,dokte,1
2126,dokter,4
2127,dokumen,1
2128,dolittle,2
2129,dollar,2
2130,dome,1
2131,dominasi,1
2132,donal,2
2133,donald,4
2134,dongeng,3
2135,dongg,2
2136,donggg,1
2137,dongggg,1
2138,dongo,1
2139,dongsss,1
2140,dongsssss,1
2141,donlod,1
2142,donor,3
2143,doorprize,1
2144,doorstop,1
2145,dop,1
2146,dor,2
2147,dorong,9
2148,dorval,1
2149,dosa,2
2150,download,2
2151,dowo,2
2152,doxxing,2
2153,doyan,1
2154,doyo,1
2155,dpc,3
2156,dpd,5
2157,dpikirin,1
2158,dpo,2
2159,dpr,44
2160,dprd,6
2161,dpubmp,1
2162,dra,1
2163,drako,1
2164,drakor,1
2165,drat,1
2166,draw,2
2167,dreaming,1
2168,drg,1
2169,dri,4
2170,drinken,1
2171,drinking,1
2172,driver,8
2173,drivernya,1
2174,driyono,1
2175,drone,2
2176,droplet,1
2177,drpda,1
2178,drugs,1
2179,dsini,1
2180,dsks,1
2181,dtnya,1
2182,dtutup,1
2183,dtv,1
2184,dua,8
2185,duaarrrr,1
2186,dubes,3
2187,duduk,4
2188,duga,13
2189,duhaa,1
2190,duhh,1
2191,duit,3
2192,duk,1
2193,duka,2
2194,duku,1
2195,dukung,93
2196,dulang,1
2197,dulundi,1
2198,dulunya,1
2199,dulur,1
2200,dungu,2
2201,dunguers,1
2202,dunguh,1
2203,duni,1
2204,dunia,8
2205,duo,85
2206,durasi,2
2207,dusta,1
2208,dustbag,1
2209,duterte,2
2210,duu,1
2211,duuuh,1
2212,duwe,1
2213,duwit,1
2214,duyormejik,1
2215,dwi,1
2216,dwika,2
2217,dwimas,1
2218,dzakiy,1
2219,dzikir,1
2220,ealahh,1
2221,eat,1
2222,ebes,1
2223,ebesku,1
2224,ebiet,21
2225,ebt,1
2226,ecek,4
2227,ecer,2
2228,ecn,1
2229,economic,2
2230,ecotraveler,1
2231,eda,13
2232,edaaan,1
2233,edar,75
2234,edhy,2
2235,ediot,1
2236,edit,4
2237,edita,1
2238,editing,1
2239,educator,2
2240,edukasi,3
2241,eee,1
2242,eeehhh,1
2243,eehhh,1
2244,eeiit,1
2245,efbe,1
2246,efek,3
2247,effendy,7
2248,efforts,1
2249,efilling,1
2250,efin,1
2251,efpei,1
2252,eggnoid,1
2253,ego,2
2254,egp,1
2255,eheee,1
2256,ehehe,1
2257,ehehehe,1
2258,eiiit,1
2259,eijkman,3
2260,ejek,1
2261,eknm,1
2262,ekon,1
2263,ekono,2
2264,ekonomi,9
2265,ekonomiiiiiii,1
2266,ekonomin,1
2267,ekonominy,1
2268,ekor,1
2269,eks,1
2270,eksekusi,2
2271,eksen,1
2272,ekspektasi,1
2273,ekspektasinya,1
2274,eksploitasi,1
2275,eksposure,1
2276,ekspres,1
2277,ekstrim,1
2278,elections,1
2279,electro,1
2280,electronik,1
2281,elek,1
2282,elektabilitas,2
2283,elektabilitasnya,1
2284,elektornik,1
2285,elit,13
2286,elizabeth,2
2287,emaknya,1
2288,emang,8
2289,emas,3
2290,embassies,1
2291,embong,3
2292,emboss,1
2293,emergency,1
2294,emha,1
2295,emil,4
2296,emka,1
2297,emnk,2
2298,emoji,1
2299,empat,7
2300,empati,1
2301,empon,3
2302,emprit,2
2303,enabled,1
2304,enak,8
2305,enarupes,1
2306,enau,1
2307,endah,2
2308,endal,1
2309,endemik,1
2310,endeus,1
2311,endi,6
2312,endus,2
2313,endy,1
2314,eneg,1
2315,enembe,2
2316,engagement,16
2317,engkok,1
2318,engkos,1
2319,england,3
2320,english,4
2321,engumuman,1
2322,enjing,1
2323,enkripsi,1
2324,ent,1
2325,entertainment,6
2326,enthusiast,1
2327,entrepreneur,1
2328,enyana,1
2329,epidemi,2
2330,epidemik,1
2331,epistaksus,1
2332,epsom,1
2333,eramuslim,2
2334,erat,1
2335,erdogan,1
2336,erianto,1
2337,eric,1
2338,erik,1
2339,erop,1
2340,error,1
2341,erti,15
2342,eru,1
2343,esdm,1
2344,esemka,10
2345,esha,1
2346,eslam,1
2347,esport,2
2348,esports,7
2349,essense,1
2350,essensial,1
2351,essential,1
2352,estiani,1
2353,esuk,1
2354,etah,1
2355,eten,1
2356,ethanol,1
2357,etika,2
2358,etnik,1
2359,eui,1
2360,euro,1
2361,europe,1
2362,evakuasi,2
2363,evaluasi,1
2364,event,15
2365,events,3
2366,evidence,1
2367,evil,1
2368,ewangi,1
2369,ewei,1
2370,ewes,1
2371,ewu,1
2372,ewuh,2
2373,excel,3
2374,excited,5
2375,excitement,1
2376,exciting,1
2377,executive,5
2378,exhibitions,3
2379,exit,6
2380,expe,1
2381,experiences,1
2382,experiencing,1
2383,experiment,1
2384,experts,2
2385,expo,4
2386,external,1
2387,eyecenter,1
2388,faasiq,1
2389,fac,1
2390,facebook,20
2391,fachri,1
2392,facial,1
2393,fackchecking,1
2394,facto,2
2395,fadli,7
2396,fadly,1
2397,fafhh,16
2398,fahira,1
2399,fahriza,1
2400,fahrudin,1
2401,fair,2
2402,faisal,17
2403,fajroel,1
2404,fak,3
2405,fakenews,1
2406,fakta,19
2407,faldo,2
2408,falsehood,2
2409,falungong,1
2410,fame,1
2411,fanbase,1
2412,fanfest,2
2413,fansboy,2
2414,faqih,1
2415,farewell,2
2416,farhan,3
2417,fariz,1
2418,farm,1
2419,farma,14
2420,fasilitas,3
2421,fasiltas,1
2422,fatma,1
2423,favorit,2
2424,favorites,1
2425,fax,1
2426,fbr,2
2427,feature,1
2428,febby,1
2429,febian,4
2430,febina,1
2431,february,2
2432,feeling,1
2433,feelingku,1
2434,feeport,1
2435,fellas,2
2436,femi,3
2437,fengshui,3
2438,fenty,6
2439,ferdi,1
2440,ferguso,1
2441,ferrari,1
2442,ferro,1
2443,fery,1
2444,fhallawers,1
2445,fhoax,1
2446,fidalgo,1
2447,fidzuno,2
2448,field,1
2449,fight,1
2450,fighting,1
2451,figure,1
2452,fikir,1
2453,fikirkan,2
2454,filadelpia,1
2455,file,1
2456,film,1
2457,filter,1
2458,fin,1
2459,final,1
2460,financasecreditos,1
2461,finding,3
2462,finlandia,1
2463,firasat,3
2464,fis,1
2465,fisik,1
2466,fisip,3
2467,fitbar,2
2468,fitnah,5
2469,fitness,1
2470,fitriyasa,2
2471,fitur,5
2472,fksn,1
2473,flashdisk,1
2474,flashmob,1
2475,flatten,2
2476,flavors,6
2477,flawless,1
2478,flight,1
2479,fliptop,1
2480,fllwrs,1
2481,florida,1
2482,flow,1
2483,fly,1
2484,fm,3
2485,fmipa,1
2486,focus,1
2487,fokus,3
2488,follo,1
2489,folloewnya,1
2490,followernyaa,1
2491,followersnyaa,1
2492,folowernya,1
2493,folowersnya,1
2494,font,1
2495,foods,1
2496,foodtruck,1
2497,forbes,1
2498,force,15
2499,form,13
2500,formul,1
2501,fortuga,1
2502,foto,6
2503,fotto,1
2504,foundation,1
2505,founder,9
2506,framing,8
2507,frankie,1
2508,frankly,1
2509,fransiskus,1
2510,frase,1
2511,freddy,1
2512,fredly,3
2513,free,13
2514,freeport,7
2515,frekuensi,1
2516,friend,1
2517,fringe,3
2518,frustasi,1
2519,ftt,1
2520,fulgar,1
2521,fun,5
2522,fungsi,3
2523,furhat,1
2524,furious,1
2525,furnace,1
2526,furniture,1
2527,futsal,1
2528,future,2
2529,fx,1
2530,fya,1
2531,gaaeess,1
2532,gaakan,1
2533,gabakal,1
2534,gaban,4
2535,gabe,2
2536,gabener,9
2537,gabisa,10
2538,gabung,27
2539,gadah,2
2540,gadai,4
2541,gadget,1
2542,gading,1
2543,gaduh,2
2544,gae,2
2545,gaeees,1
2546,gaeess,1
2547,gagal,2
2548,gagap,1
2549,gagas,7
2550,gaguna,1
2551,gajah,1
2552,gajayana,2
2553,gaji,1
2554,gakbener,1
2555,gakkumdu,1
2556,galang,1
2557,gali,2
2558,galiat,1
2559,galigo,5
2560,galunggung,2
2561,gambar,14
2562,gambir,1
2563,game,12
2564,gamecenter,1
2565,gampang,1
2566,gana,1
2567,gandeng,4
2568,gang,1
2569,ganggu,6
2570,gangs,1
2571,ganjal,2
2572,ganti,23
2573,gantu,1
2574,gantung,14
2575,gapai,1
2576,gapern,1
2577,gaplok,1
2578,gaptek,1
2579,gar,1
2580,garang,2
2581,garap,1
2582,gardenia,1
2583,gass,1
2584,gatakut,1
2585,gathering,1
2586,gatsby,1
2587,gatsu,1
2588,gaudiamo,1
2589,gaul,1
2590,gaung,4
2591,gawang,1
2592,gawat,2
2593,gaya,2
2594,gblkk,1
2595,gblok,1
2596,gbr,1
2597,gctf,1
2598,gebetanmu,1
2599,gebrak,2
2600,gebug,1
2601,gede,5
2602,gedebak,2
2603,gedhenya,1
2604,gedor,1
2605,geeeeess,1
2606,geg,1
2607,gegara,7
2608,gegas,1
2609,gegayaan,1
2610,gej,1
2611,geja,1
2612,gejala,3
2613,geje,1
2614,gejolak,1
2615,gejrot,1
2616,gelagap,1
2617,gelagepan,1
2618,gelar,9
2619,gelas,1
2620,gelepak,1
2621,geliat,1
2622,gelincir,1
2623,gelintir,1
2624,gelisah,2
2625,gelitik,1
2626,gelombang,1
2627,gelondong,1
2628,gelontor,1
2629,geludug,1
2630,gem,1
2631,gema,2
2632,gemar,2
2633,gembala,2
2634,gembar,1
2635,gembleng,3
2636,gembor,1
2637,gemeesss,1
2638,gemesnya,1
2639,gemessssssss,2
2640,gemetar,2
2641,gemeter,4
2642,genang,1
2643,gencar,1
2644,generated,1
2645,generation,3
2646,genetik,3
2647,genggam,1
2648,gengsi,1
2649,genqpkan,1
2650,gentayang,1
2651,genting,3
2652,gentir,1
2653,georgeous,1
2654,gepok,2
2655,gera,38
2656,gerak,63
2657,gercep,3
2658,gerebek,9
2659,gereget,1
2660,gerilya,1
2661,gerindra,20
2662,germas,1
2663,gerombol,2
2664,gesek,1
2665,gesit,1
2666,getar,1
2667,geteh,1
2668,geylang,2
2669,ggk,1
2670,ghaso,1
2671,ghebreyesus,1
2672,ghedebrus,1
2673,gian,2
2674,giant,1
2675,giat,5
2676,giay,1
2677,gibran,10
2678,gift,1
2679,gigbag,1
2680,gigi,1
2681,gigih,1
2682,gigit,5
2683,gila,3
2684,gilir,9
2685,gimanayaa,1
2686,gimane,1
2687,gimans,1
2688,gimik,1
2689,gimn,4
2690,gin,6
2691,gina,1
2692,ginger,1
2693,ginii,1
2694,gip,1
2695,girang,1
2696,girder,1
2697,giring,1
2698,git,2
2699,gitar,1
2700,gituh,2
2701,giur,1
2702,giveaway,3
2703,giver,1
2704,gizi,1
2705,gkda,1
2706,gki,1
2707,gkn,1
2708,gladi,1
2709,glastonbury,4
2710,glek,1
2711,glenn,55
2712,glimpse,1
2713,glintung,1
2714,glodok,1
2715,glorifikasi,1
2716,glorious,1
2717,glycer,1
2718,gmbr,1
2719,gnpf,1
2720,gobert,1
2721,goblo,1
2722,goblog,2
2723,goblok,7
2724,goda,2
2725,godbless,1
2726,gofood,3
2727,gog,1
2728,gojekin,1
2729,gokil,1
2730,goldar,1
2731,golong,5
2732,golonga,1
2733,gombal,1
2734,gonggongin,1
2735,gono,8
2736,goobernur,1
2737,gor,1
2738,goreng,2
2739,gorong,2
2740,gos,1
2741,government,1
2742,governor,2
2743,govt,1
2744,gowa,1
2745,gowes,1
2746,goyang,2
2747,gp,4
2748,gra,1
2749,grab,10
2750,grabwheels,1
2751,grace,2
2752,graduation,1
2753,gramed,1
2754,graphic,3
2755,gratis,4
2756,gratissssss,1
2757,graziiass,1
2758,great,3
2759,green,1
2760,greges,1
2761,gremet,1
2762,gresik,1
2763,groceries,2
2764,groene,1
2765,grogol,1
2766,grooming,2
2767,group,4
2768,gta,1
2769,guardian,2
2770,gubah,1
2771,gubenur,2
2772,gubernur,2
2773,gubris,1
2774,gud,1
2775,gudbener,1
2776,guesthouse,1
2777,gug,2
2778,gugat,24
2779,gugling,1
2780,guh,1
2781,gulag,2
2782,guling,2
2783,gulir,4
2784,gulung,2
2785,gumay,1
2786,gumpal,1
2787,guna,15
2788,gunadarma,2
2789,guncang,8
2790,gundul,1
2791,gunship,1
2792,gunung,4
2793,gunungsari,1
2794,gunz,1
2795,guoblok,1
2796,gupta,1
2797,guptasitorus,1
2798,gura,4
2799,gurbenur,1
2800,guru,4
2801,gusdurian,1
2802,guy,2
2803,guyon,4
2804,guysss,1
2805,gwe,1
2806,gwethingggg,1
2807,gyro,1
2808,haaa,1
2809,haag,1
2810,habiburokhman,1
2811,habis,13
2812,habisin,1
2813,hacked,1
2814,hacking,1
2815,hadap,26
2816,hadapin,1
2817,hadar,1
2818,hadee,1
2819,hadeeech,1
2820,hadeeeeeh,1
2821,hadeeeh,3
2822,hadeeehhh,1
2823,hadehh,2
2824,hadehhhh,1
2825,hadepin,1
2826,hadeuhhhh,1
2827,hadiah,6
2828,hadil,1
2829,hadir,20
2830,haduuhh,1
2831,haesy,1
2832,hagia,2
2833,hago,2
2834,hahaayy,1
2835,hahah,4
2836,hahahahahaahaa,1
2837,hahahahahahah,2
2838,hahh,1
2839,haiii,2
2840,haikal,1
2841,hairspray,2
2842,haizzzz,1
2843,hajat,1
2844,hak,3
2845,hakim,1
2846,hakon,1
2847,hal,4
2848,halal,1
2849,halang,5
2850,haldon,1
2851,halili,1
2852,halllo,1
2853,halllooolo,1
2854,halmahera,1
2855,halodoc,3
2856,halunya,1
2857,hambat,5
2858,hamengku,1
2859,hamza,1
2860,hancur,7
2861,hand,57
2862,handal,3
2863,handle,1
2864,handphone,4
2865,handphonenya,1
2866,handrub,1
2867,handsainitizer,1
2868,handsanitizer,12
2869,handscoon,2
2870,handsinitizer,1
2871,hangat,1
2872,hangzhou,2
2873,hani,1
2874,hannovermarkt,1
2875,hansainitizernya,1
2876,hansip,1
2877,hanson,1
2878,hantam,1
2879,hantzer,1
2880,hanura,4
2881,hany,1
2882,hapalin,1
2883,happy,7
2884,happyfresh,1
2885,hapus,8
2886,haram,1
2887,harap,22
2888,harbatah,2
2889,harddisk,1
2890,hardisk,1
2891,hardware,5
2892,harg,2
2893,harga,40
2894,hari,26
2895,harto,1
2896,hartono,1
2897,haru,3
2898,harum,1
2899,harun,39
2900,harus,6
2901,harussss,1
2902,harvard,2
2903,haryono,1
2904,hashtag,2
2905,hasibuan,2
2906,hasil,26
2907,hastag,1
2908,hastaq,1
2909,hasto,2
2910,hasut,1
2911,hasyim,2
2912,hata,1
2913,hatchie,1
2914,hate,2
2915,hateeii,1
2916,haters,2
2917,hati,14
2918,hatorangan,1
2919,hatur,1
2920,haucek,1
2921,hawa,2
2922,hawaii,2
2923,hawatiri,1
2924,hayolooo,1
2925,hayoo,2
2926,hayoollaahh,1
2927,hazmat,3
2928,hb,1
2929,hbgan,4
2930,hbis,1
2931,hbt,2
2932,hc,1
2933,hdp,1
2934,headline,4
2935,healthy,3
2936,heater,1
2937,hebak,2
2938,hebat,3
2939,hebatdiki,2
2940,hebattt,1
2941,hectic,2
2942,hedeeeh,1
2943,heem,1
2944,heeyy,1
2945,heeyyy,1
2946,hehee,1
2947,heheh,1
2948,heheheh,1
2949,hehehehe,4
2950,heheheheee,1
2951,hehii,1
2952,heiiii,1
2953,helat,1
2954,held,1
2955,heli,1
2956,helm,1
2957,helmy,1
2958,helowwwww,1
2959,helsyanto,2
2960,hemat,3
2961,hembook,1
2962,hembus,2
2963,hempat,1
2964,hendak,7
2965,hendi,1
2966,hendro,1
2967,hendropriyo,1
2968,hendropriyono,2
2969,hengki,1
2970,heni,1
2971,hensat,1
2972,henti,36
2973,hepi,4
2974,heran,1
2975,herawati,1
2976,herbs,2
2977,heritage,1
2978,herman,1
2979,hermina,1
2980,heroes,6
2981,heuehwuwuehu,1
2982,heula,1
2983,heureuy,1
2984,hhh,1
2985,hhhhhhh,1
2986,hias,1
2987,hibrid,1
2988,hibur,11
2989,hidang,2
2990,hidayatullah,1
2991,hideo,1
2992,hidiiiih,1
2993,hidup,13
2994,hiduplu,1
2995,hifdzi,1
2996,higga,1
2997,highlight,4
2998,hijab,2
2999,hilan,1
3000,hilang,31
3001,himalaya,1
3002,himba,1
3003,himbara,1
3004,himbau,2
3005,himbauan,15
3006,himbauannya,1
3007,himpun,1
3008,hina,11
3009,hinca,1
3010,hindar,27
3011,hindia,2
3012,hindu,2
3013,hip,4
3014,hirarkinya,2
3015,hirau,11
3016,hitung,24
3017,hiv,3
3018,hizazlul,1
3019,hkbp,1
3020,hlbk,4
3021,hmj,1
3022,hmmm,3
3023,hny,1
3024,hoaax,1
3025,hoaxa,1
3026,hoaxd,1
3027,hoaxes,1
3028,hoaxhoaxmaret,3
3029,hoaxjt,1
3030,hoaxkg,2
3031,hoaxliter,1
3032,hoaxlt,2
3033,hoaxm,1
3034,hoaxnya,3
3035,hoaxohoax,1
3036,hoaxplastik,1
3037,hoaxst,1
3038,hoaxvalidhoax,1
3039,hoaxvalidk,3
3040,hoaxvalidlt,1
3041,hoaxvalidrb,1
3042,hoaxvalidvalid,22
3043,hoaxvalidvalidml,3
3044,hoaxvalidvalidrb,2
3045,hoaxvalidvalidvalidan,1
3046,hoaxvalidvalidvalidx,1
3047,hoaxx,1
3048,hobbyground,2
3049,hohohooo,1
3050,hola,1
3051,holder,1
3052,holding,4
3053,hollywood,3
3054,homebase,1
3055,hominem,2
3056,honest,1
3057,hongko,1
3058,hongkong,1
3059,honored,1
3060,hoooooiiiiii,1
3061,horee,1
3062,hormat,19
3063,horor,1
3064,horse,1
3065,hotline,8
3066,hotman,1
3067,house,4
3068,hox,1
3069,hpl,1
3070,hrs,22
3071,hti,9
3072,huahaha,1
3073,hubung,55
3074,hudup,1
3075,huebaaat,1
3076,huge,1
3077,huhuhu,1
3078,hujan,3
3079,hujat,2
3080,hujung,2
3081,huku,1
3082,hukum,17
3083,humassumut,1
3084,hungaria,1
3085,huni,12
3086,husada,6
3087,husen,1
3088,husni,2
3089,husodo,1
3090,hutan,12
3091,hutang,13
3092,hutangg,1
3093,huwaw,1
3094,huwooo,1
3095,huxley,1
3096,hvs,1
3097,hygiene,2
3098,hype,1
3099,hypermart,3
3100,hyun,1
3101,iakn,1
3102,ibadah,4
3103,ibadat,1
3104,ibc,1
3105,ibl,5
3106,ibu,4
3107,ibuk,1
3108,ibukku,1
3109,ibuknya,1
3110,ibukota,19
3111,ice,2
3112,ichthyosis,1
3113,icom,1
3114,icw,2
3115,idam,2
3116,idap,2
3117,idawati,2
3118,idbyte,2
3119,ide,1
3120,ideafest,6
3121,ideapitch,1
3122,ideas,4
3123,ideatalks,1
3124,identifikasi,2
3125,ideologi,1
3126,idi,6
3127,idola,3
3128,idrek,1
3129,idung,1
3130,ied,1
3131,ieu,1
3132,ifes,2
3133,iflix,1
3134,igd,1
3135,igf,1
3136,ignya,3
3137,ihhhh,1
3138,ihoax,1
