,Hoax Words,Frequency
393,another,2
394,ansor,3
395,anta,1
396,antalya,1
397,antam,1
398,antar,4
399,antara,1
400,antarpenonton,1
401,antarpulau,1
402,antarwilayah,1
403,antek,5
404,antem,5
405,anter,2
406,anti,58
407,antibanjirnya,1
408,antibiotik,1
409,antihoaks,2
410,antihoax,1
411,antikorupsi,2
412,antimainstream,1
413,anting,3
414,antinyasar,1
415,antipati,2
416,antiplastik,1
417,antis,2
418,antiseptic,3
419,antiseptik,4
420,antisi,1
421,antisip,1
422,antisipasi,11
423,antisipasiasi,1
424,antivirus,1
425,antivirusnya,1
426,antonio,1
427,antre,2
428,antri,10
429,antum,2
430,antusias,1
431,anut,2
432,anuu,1
433,anw,3
434,apa,43
435,apakata,1
436,apala,1
437,apansih,1
438,apapaun,1
439,apar,1
440,apara,1
441,aparat,1
442,aparatu,1
443,apd,3
444,apel,6
445,apes,1
446,aph,1
447,api,15
448,apjii,1
449,apkk,1
450,aplikasi,3
451,aplot,1
452,apocalyptic,1
453,apotek,20
454,apotik,7
455,app,2
456,apple,2
457,appr,1
458,appreciation,1
459,apresiasi,11
460,apsari,1
461,apung,1
462,aq,4
463,aqua,3
464,ar,2
465,arab,10
466,arabian,1
467,arah,45
468,arang,1
469,araya,4
470,arb,1
471,archie,4
472,ardi,2
473,are,13
474,area,52
475,areal,1
476,arek,8
477,arema,9
478,argentina,1
479,argo,1
480,argumen,3
481,argumentas,1
482,argumentasi,1
483,ari,9
484,aribowo,9
485,arie,1
486,arief,16
487,arifin,1
488,ario,2
489,aris,1
490,arit,1
491,arjosari,1
492,arjuno,2
493,arkademy,2
494,armada,1
495,armand,4
496,armun,1
497,army,1
498,arnidah,1
499,arogan,1
500,arogansi,1
501,aroma,4
502,around,4
503,arsip,19
504,arsitek,2
505,arsitektur,3
506,art,4
507,artamevia,1
508,arteri,1
509,arteria,2
510,arti,1
511,artik,1
512,artikel,32
513,artin,1
514,artis,5
515,artist,4
516,artotel,1
517,artpreneur,12
518,aruf,1
519,arus,5
520,arya,5
521,asa,11
522,asabri,1
523,asah,5
524,asai,3
525,asal,1
526,asam,2
527,asap,5
528,asasi,1
529,asbun,4
530,asdfghjkl,1
531,asegaf,1
532,asemka,1
533,aseng,5
534,aset,11
535,asfinawati,1
536,asgar,2
537,asi,3
538,asia,12
539,asiaafrika,1
540,asih,2
541,asiik,1
542,asik,10
543,asing,29
544,asisi,1
545,asistensi,1
546,asli,43
547,aslik,1
548,asline,1
549,asma,3
550,asmara,1
551,asn,6
552,asnar,1
553,asong,1
554,asosiasi,3
555,aspal,1
556,aspek,2
557,asplak,2
558,asrama,2
559,assalammualaikum,1
560,assalamu,1
561,assalamualaikum,6
562,asset,2
563,assistant,2
564,associated,1
565,association,2
566,astaga,3
567,astagaaaaa,1
568,astagfirullah,1
569,astaghfirullah,2
570,aster,1
571,astrid,1
572,astuti,3
573,asu,2
574,asuh,2
575,asumsi,1
576,asupan,1
577,asuransi,3
578,asus,3
579,asuuu,1
580,asy,1
581,asyik,16
582,at,30
583,atap,4
584,atas,59
585,atasanya,1
586,atasnamakan,1
587,ataupu,1
588,ate,4
589,atensi,1
590,ati,5
591,atiatul,1
592,atika,1
593,atk,1
594,atlet,3
595,atlit,1
596,atm,3
597,atmospheric,1
598,ato,14
599,atrium,1
600,attraction,1
601,atu,2
602,atuh,7
603,atur,38
604,atura,1
605,atw,3
606,au,2
607,audi,2
608,audiens,3
609,audiensi,10
610,audio,2
611,auditorium,1
612,augmented,1
613,aula,3
614,aulia,2
615,aura,1
616,aurat,1
617,aus,1
618,australia,18
619,australian,1
620,austria,9
621,authentic,3
622,auto,5
623,autopilot,1
624,ava,1
625,available,3
626,avenger,2
627,avengers,2
628,avian,1
629,aviv,1
630,awa,2
631,awak,2
632,awakdewe,1
633,awal,10
634,awam,4
635,awan,24
636,awang,2
637,award,2
638,aware,9
639,awareness,1
640,awas,35
641,awat,4
642,away,1
643,awesome,2
644,awet,3
645,awis,2
646,awkmu,3
647,awokawkwkwk,1
648,awokwowk,1
649,aww,1
650,awww,1
651,aya,2
652,ayah,11
653,ayahanda,2
654,ayam,19
655,ayank,1
656,ayat,6
657,ayem,3
658,ayenamah,1
659,ayo,69
660,ayok,3
661,ayom,1
662,ayooo,2
663,ayu,3
664,ayuk,1
665,ayunda,5
666,az,3
667,azab,4
668,azhar,1
669,aziz,2
670,azzahara,1
671,ba,5
672,babak,10
673,babar,1
674,babi,14
675,baby,1
676,baca,50
677,bacak,1
678,bacharuddin,1
679,bachelors,2
680,back,3
681,backhoe,1
682,backing,1
683,backstage,1
684,backstreet,3
685,baco,3
686,bacodd,1
687,bacok,3
688,bacot,5
689,bacott,1
690,bad,3
691,badai,6
692,badan,25
693,badar,1
694,badhe,1
695,badri,2
696,badut,2
697,baduy,7
698,bae,6
699,bag,2
700,bagaim,2
701,bagi,107
702,bagiamana,1
703,bagiin,4
704,baginda,2
705,bagooossshhh,1
706,bagu,1
707,bagun,1
708,bagus,43
709,bagusss,1
710,bah,3
711,bahagia,18
712,bahan,38
713,baharu,1
714,bahas,36
715,bahasa,33
716,bahaya,40
717,bahri,3
718,bahu,6
719,bai,2
720,baik,33
721,bain,7
722,bais,1
723,bait,1
724,baja,3
725,bajak,3
726,bajar,2
727,bajas,1
728,baje,1
729,bajer,5
730,bajernya,1
731,bajerrp,6
732,bajing,1
733,baju,21
734,bak,5
735,bakamla,1
