kata tidak baku,kata baku
action,aksi
donk,dong
semrawut,berantakan
amburadul,berantakan
ane,saya
kalo,kalau
apa2an,apaapaan
kagak,tidak
kata2,katakata
nyungsep,masuk
bangke,sial
sp,siapa
liyat,lihat
babe,ayah
bawak,bawa
gak,tidak
dg,dengan
mo,mau
kek,pun
bodok,bodoh
pan,kan
aer,air
rendem,merendam
auto,otomatis
moga,semoga
ksh,kasih
kapok2,menyerah
tolol,bodoh
62,indonesia
goblok,bodoh
missqueen,miskin
waras,sehat
next,selanjutnya
gub,gubernur
byk,banyak
nggilani,menjijikkan
sy,saya
kl,kalau
or,atau
sedkt,sedikit
drpd,daripada
gmn,bagaimana
lu,kamu
mrka,mereka
sllu,selalu
ingt,ingat
klian,kalian
klen,kalian
ojok,jangan
ampe,sampai
aj,saja
ye,ya
gara2,gara-gara
gak,tidak
yg,yang
gw,saya
kasi,kasih
tau,tahu
adlh,adalah
kpd,kepada
g,tidak
trmsk,termasuk
jend,jenderal
orange,oranye
dlm ,dalam
tp,tapi
kmren,kemarin
gk,tidak
nyalain,nyala
utk,untuk
cuekin,cuek
aja,saja
gue,saya
tetep,tetap
paedah,faedah
nrima,terima
gwe,saya
nggak,tidak
dunkss,dong
kasian,kasihan
anda2,anda
besok2,besok
ga,tidak
goblog,bodoh
koq,kok
hestek,tagar
matiin,mati
males,malas
gaada,tidak ada
nge-like,suka
asik,asyik
tdk,tidak
sdg,sedang
org,orang
sy,saya
dgn,dengan
krn,karena
lo,kamu
sampe,sampai
byk,banyak
yaa,ya
akuuu,aku
sbg,sebagai
ats,atas
bpk,bapak
ampunnnnn,ampun
rinduuuu,rindu
munkin,mungkin
rameh,ramai
kaga,tidak
karna,karena
tenaaang,tenang
jahaaattt,jahat
pak,bapak
bu,ibu
mentri,menteri
kalo,kalau
klu,kalau
maw,mau
metri,menteri
ngusir,usir
buang2,buang
temen,teman
dr,dari
jgn,jangan
santuy,santai
orang2,orang
sii,memang
group,grup
kayak,seperti
ghaib,gaib
go'ib,gaib
spt,seperti
ttg,tentang
ttpi,tetapi
dukunan,dukun
aq,aku
sy,saya
qm,kamu
sdh,sudah
menteri2,menteri
bju,baju
neko2,aneh-aneh
ttp,tetapi
manager,manajer
player,pemain
ntak,tidak
repot2,repot
pengen,ingin
hr,hari
udg,undang
demo2,demo
bwat,untuk
klean,kalian
priode,periode
seorg,seorang
diyan,doyan
sll,selalu
slrh,seluruh
ttap,tetap
mantul,mantap
tkng,tukang
jk,jika
sgt,sangat
mafia2,mafia
penguasa2,penguasa
loe,kamu
nitip,titip
blh,boleh
tgk,tengok
tu,itu
kereenn,keren
bnyk,banyak
kang,tukang
kerjaan,pekerjaan
kebo,kerbau
nanggung,tanggung
mawon,saja
sby,surabaya
yng,yang
trus,terus
jngn,jangan
ampe,sampai
cangkul2,cangkul
inget,ingat
iku,itu
order,pesan
doang,saja
kelen,kalian
cman,Cuma
kek,seperti
ok,oke
lu,kamu
gua,saya
goblok,bodoh
siyappp,siap
truck,truk
ikhlas2,ikhlas
dunkss,dong
stelah,setelah
ap,apa
knp,mengapa
dmn,di mana
apakh,apakah
dy,dia
